Variable,Long name,Standard name,Units
loadoa,Load of Dry Aerosol Organic Matter,atmosphere_mass_content_of_particulate_organic_matter _dry_aerosol_particles,kg m-2
loadpoa,Load of Dry Aerosol Primary Organic Matter,atmosphere_mass_content_of_primary_particulate_organic _matter_dry_aerosol_particles,kg m-2
loadso4,Load of SO4,atmosphere_mass_content_of_sulfate_dry_aerosol _particles,kg m-2
loadsoa,Load of Dry Aerosol Secondary Organic Matter,atmosphere_mass_content_of_secondary_particulate _organic_matter_dry_aerosol_particles,kg m-2
loadss,Load of Sea-Salt Aerosol,atmosphere_mass_content_of_sea_salt_dry_aerosol _particles,kg m-2
longitude,Longitude,longitude,degrees_east
lossch4,Monthly Loss of Atmospheric Methane,tendency_of_atmosphere_mole_concentration_of_methane _due_to_chemical_destruction,mol m-3 s-1
lossco,Monthly Loss of Atmospheric Carbon Monoxide,tendency_of_atmosphere_mole_concentration_of_carbon _monoxide_due_to_chemical_destruction,mol m-3 s-1
lossn2o,Monthly Loss of Atmospheric Nitrous Oxide,tendency_of_atmosphere_mole_concentration_of_nitrous _oxide_due_to_chemical_destruction,mol m-3 s-1
lwp,Liquid Water Path,atmosphere_mass_content_of_cloud_liquid_water,kg m-2
lwsffluxaero,Longwave Flux Due to Volcanic Aerosols at the Surface,surface_downwelling_longwave_flux_in_air_due_to _volcanic_ambient_aerosol_particles,W m-2
lwsnl,Liquid Water Content of Snow Layer,liquid_water_content_of_surface_snow,kg m-2
lwsrfasdust,All-Sky Surface Longwave Radiative Flux Due to Dust,surface_net_downward_longwave_dust_ambient_aerosol _particles_direct_radiative_effect,W m-2
lwsrfcsdust,Clear-Sky Surface Longwave Radiative Flux Due to Dust,surface_net_downward_longwave_dust_ambient_aerosol _particles_direct_radiative_effect_assuming_clear_sky,W m-2
lwtoaasdust,TOA All-Sky Longwave Radiative Forcing Due to Dust,toa_instantaneous_longwave_forcing,W m-2
lwtoacsaer,TOA Clear-Sky Longwave Radiative Forcing Due to Aerosols,toa_instantaneous_longwave_forcing,W m-2
lwtoacsdust,TOA Clear-Sky Longwave Radiative Forcing Due to Dust,toa_longwave_dust_ambient_aerosol_particles_direct _radiative_effect_assuming_clear_sky,W m-2
lwtoafluxaerocs,TOA Outgoing Clear-Sky Longwave Flux Due to Volcanic Aerosols,toa_outgoing_longwave_flux_due_to_volcanic_ambient _aerosol_particles_assuming_clear_sky,W m-2
masscello,Ocean Grid-Cell Mass per Area,sea_water_mass_per_unit_area,kg m-2
masso,Sea Water Mass,sea_water_mass,kg
maxpblz,Maximum PBL Height,atmosphere_boundary_layer_thickness,m
mc,Convective Mass Flux,atmosphere_net_upward_convective_mass_flux,kg m-2 s-1
mcd,Downdraft Convective Mass Flux,atmosphere_downdraft_convective_mass_flux,kg m-2 s-1
mcu,Convective Updraft Mass Flux,atmosphere_updraft_convective_mass_flux,kg m-2 s-1
md,Wet Diameter Mode Coarse Insoluble,tendency_of_atmosphere_mass_content_of_dust_dry_aerosol _particles_due_to_emission,kg m-2 s-1
meanage,Mean Age of Stratospheric Air,age_of_stratospheric_air,yr
mfo,Sea Water Transport,sea_water_transport_across_line,kg s-1
minpblz,Minimum PBL Height,atmosphere_boundary_layer_thickness,m
mlotst,Ocean Mixed Layer Thickness Defined by Sigma T,ocean_mixed_layer_thickness_defined_by_sigma_t,m
mlotstmax,Maximum Ocean Mixed Layer Thickness Defined by Sigma T,ocean_mixed_layer_thickness_defined_by_sigma_t,m
mlotstmin,Minimum Ocean Mixed Layer Thickness Defined by Sigma T,ocean_mixed_layer_thickness_defined_by_sigma_t,m
mlotstsq,Square of Ocean Mixed Layer Thickness Defined by Sigma T,square_of_ocean_mixed_layer_thickness_defined_by_sigma _t,m2
mmraerh2o,Aerosol Water Mass Mixing Ratio,mass_fraction_of_water_in_ambient_aerosol_particles_in _air,kg kg-1
mmrbc,Elemental Carbon Mass Mixing Ratio,mass_fraction_of_elemental_carbon_dry_aerosol_particles _in_air,kg kg-1
mmrdust,Dust Aerosol Mass Mixing Ratio,mass_fraction_of_dust_dry_aerosol_particles_in_air,kg kg-1
mmrnh4,NH4 Mass Mixing Ratio,mass_fraction_of_ammonium_dry_aerosol_particles_in_air,kg kg-1
